WKT,id,start_date,end_date,description,user_id,created,last_modified,source_id,type,night_bombing,map_sheet_id
"POINT (-0.172991 51.515046)","791",1940/09/07 17:34:00,1940/09/07 17:34:00,"158 Sussec Gardens, w2, London, UK ; bomb burned out on a waste ground","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",IB,false,
"POINT (-0.211816 51.50252)","790",1940/09/07 17:34:00,1940/09/07 17:34:00,"Holland Villas Road , Kensington W1, London, UK ; 4x2 roadway damage","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",IB,false,
"POINT (-0.160806 51.519465)","789",1940/09/07 17:34:00,1940/09/07 17:34:00,"Crawford Street, w1, London, UK ; 1x1 ft of damage to roadway","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",IB,false,
"POINT (-0.14353 51.538902)","788",1940/09/07 17:32:00,1940/09/07 17:32:00,"Eade Road, Finsbury Park, N4, London, UK ; IB(unignited)","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",IB,false,
"POINT (-0.22705 51.497215)","787",1940/09/07 17:31:00,1940/09/07 17:31:00,"Railway Arches, Hammersmith Grove, Hammersmith, w6, London, UK ; timber shed building and its contents damaged","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",IB,false,
"POINT (-0.205746 51.496751)","786",1940/09/07 17:31:00,1940/09/07 17:31:00,"Addison Road, Kensington, w14, London, UK ; 4x2 roadway damage","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",IB,false,
"POINT (-0.163383 51.519382)","785",1940/09/07 17:31:00,1940/09/07 17:31:00,"Seymour Buildings, Seymour Place, Westminister, London W1, London, UK ; Two bombs burnt out roof and back area","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",IB,false,
"POINT (-0.15648 51.519565)","784",1940/09/07 17:30:00,1940/09/07 17:30:00,"Baker Street, w1, London, UK ; fire caused by flame falling from aircraft","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",UNKNOWN,false,
"POINT (-0.162661 51.521367)","783",1940/09/07 17:30:00,1940/09/07 17:30:00,"140 Dorset House, Marylebone Road, NW1, London, UK ; The bomb bured out the 8ths floor verandah","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",IB,false,
"POINT (-0.226775 51.492894)","782",1940/09/07 17:29:00,1940/09/07 17:29:00,"2 Leamore St, Hammersmith, w6, London, UK ; 1st floor landing and contents slightly damaged, roof damage","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",IB,false,
"POINT (-0.079302 51.524689)","781",1940/09/07 17:28:00,1940/09/07 17:28:00,"Wallis Road, Hackney Wick, E9, London, UK ; Sweet manufacturers- A building of 3 floors about 100x 40 ft(used as machine room, work room and store) third floor and contents severely damaged.","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",IB,false,
"POINT (-0.171082 51.513303)","780",1940/09/07 17:25:00,1940/09/07 17:25:00,"Upbrook Mews, Hyde Park, w2, London, UK ; 30 private houses damaged by explosion, 1 person killed, 17 injured and moved to hospital","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",IB,false,
"POINT (-0.079302 51.524689)","779",1940/09/07 17:22:00,1940/09/07 17:22:00,"1 Philpot Street, Stepney, E1, London, UK ; Coal Merchant-Building of 2 floors about 60x 40 ft (used as workshops, office and store) and contents damaged by fire. Rest of building and contents slightly damaged","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",IB,false,
"POINT (-0.130486 51.519397)","778",1940/09/07 17:21:00,1940/09/07 17:21:00,"Bedford Road, WC1, London, UK ; shop and house of 7 rooms damaged with contents, upper part of house slightly damaged","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",IB,false,
"POINT (-0.007101 51.538433)","777",1940/09/07 17:20:00,1940/09/07 17:20:00,"Carpenters Rd E15, London, UK ; Waste Rubber Merchants- Some stock in yard and a range of buildings covering an area of about 200x100 feet severely damaged","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",XB,false,
"POINT (-0.12777 51.500302)","776",1940/09/07 17:20:00,1940/09/07 17:20:00,"31 Amelia Street, Walworth Se17, London, UK ; Coal Merchants. Timber shed building50x30  used as storeand contents damaged","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",IB,false,
"POINT (-0.093877 51.489173)","657",1940/09/07 14:57:00,1940/09/07 14:57:00,"Browning Street, SE17, London, UK ; 2x1 paving damage","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",IB,false,
"POINT (-0.129542 51.471977)","613",1940/09/07 14:45:00,1940/09/07 14:45:00,"99 Larkhall lane, Clapham SW4, London, UK ; Undertakers: 2x1 roof damage","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",IB,false,
"POINT (-0.098572 51.48861)","611",1940/09/07 14:43:00,1940/09/07 14:43:00,"15 Manor Place, SE17, London, UK ; Southwark Borough Council Public Baths. 80x50 swimming pool and slipper baths damaged","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",IB,false,
"POINT (-0.012134 51.525682)","540",1940/09/07 12:51:00,1940/09/07 12:51:00,"16 Talwin Street, Bromley, E3, London, UK ; Private house of 8 rooms severely damaged, part of roof off","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",IB,false,
"POINT (-0.012134 51.525682)","539",1940/09/07 12:51:00,1940/09/07 12:51:00,"14 Talwin Street, Bromley E3, London, UK ; Private house of 8 rooms severely damaged, part of roof off","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",IB,false,
"POINT (-0.013224 51.526378)","538",1940/09/07 12:51:00,1940/09/07 12:51:00,"Grace Street, Bromley, E3, London, UK ; Starch Manufacturers. Range of buildings of 1-2 floors, covering 2 acres. 2/3 severely damaged","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",IB,false,
"POINT (-0.046235 51.469307)","500",1940/09/07 12:31:00,1940/09/07 12:31:00,"116 Erlanger Road, Newcross, SE14, London, UK ; 2x1 roof damage","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",IB,false,
"POINT (-0.00823 51.490922)","499",1940/09/07 12:30:00,1940/09/07 12:30:00,"91 Stebondale Street, Cubbitt Town, E14, London, UK ; house and shop and contents","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",IB,false,
"POINT (-0.007969 51.510946)","427",1940/09/07 12:13:00,1940/09/07 12:13:00,"62 Ashton Street E14, London, UK ; House of 4 rooms, top floor and contents damaged","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",IB,false,
"POINT (-0.021068 51.527934)","426",1940/09/07 12:13:00,1940/09/07 12:13:00,"Bow Road, Bow E3, London, UK ; St. Clement's. Old Nurses's Home, 80x20 two floor building, 3/4 damaged and roof off","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",IB,false,
"POINT (-0.039456 51.452927)","425",1940/09/07 12:13:00,1940/09/07 12:13:00,"13 Bartham Road, Brockley, SE4, London, UK ; Back room on 1st floor and contents damaged","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",IB,false,
"POINT (-0.040506 51.515002)","381",1940/09/07 12:06:00,1940/09/07 12:06:00,"White Horse Rd, Tower Hamlets, London E1, UK, London, UK ; Minor fire damage in this area","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",XB,false,
"POINT (-0.079302 51.524689)","319",1940/09/07 11:59:00,1940/09/07 11:59:00,"Arnold Road, Bow E3, London, UK ; Back room on first floor and contents slightly damaged. Roof by breakage","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",IB,false,
"POINT (-0.034748 51.499976)","317",1940/09/07 11:59:00,1940/09/07 11:59:00,"660 Rotherhithe Street, Se16, London, UK ; 4 floor buildings, covering 1/2 mile, severely damaged","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",IB,false,
"POINT (-0.12777 51.500302)","299",1940/09/07 11:54:00,1940/09/07 11:54:00,"Bexley Road Eltham, SE9, London, UK ; 10x6 GRASS burned","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",IB,false,
"POINT (-0.008467 51.465919)","288",1940/09/07 11:50:00,1940/09/07 11:50:00,"13 Walerand Road Lewisham, SE13, London, UK ; South Met Gas Company, three houses, gas pipes and gas destroyed","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",XB,false,
"POINT (-0.079302 51.524689)","287",1940/09/07 11:50:00,1940/09/07 11:50:00,"Samuel Street, Woolwich SE18, London, UK ; 16 private houses damaged","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",XB,false,
"POINT (-0.079302 51.524689)","286",1940/09/07 11:47:00,1940/09/07 11:47:00,"Bowater Road, Woolwich SE18, London, UK ; Owned by Siemens Bros. & Co., Ltd. Electrical cable manufacturers""L"" block- 6 floors and basement 80x40, workrooms offices and store, 3 upper foors cona contents damaged. Three other buildings damaged.","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",XB,false,
"POINT (-0.12777 51.500302)","270",1940/09/07 11:45:00,1940/09/07 11:45:00,"112 Foxberry Road, Brockley, London, UK ; front room above shop and contents damaged","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",IB,false,
