WKT,id,start_date,end_date,description,user_id,created,last_modified,source_id,type,night_bombing,map_sheet_id
"POINT (-0.122796433206866 51.5496463108047)","4668",1940/10/09 23:00:00,1940/10/10 22:59:59,,"1",2012/10/14 20:06:43,2012/10/14 20:06:43,"4",XB,false,
"POINT (-0.12195586997904 51.5531898954727)","4667",1940/10/07 23:00:00,1940/10/08 22:59:59,,"1",2012/10/14 20:06:43,2012/10/14 20:06:43,"4",XB,false,
"POINT (-0.123271942351658 51.548942510649)","4666",1940/10/09 23:00:00,1940/10/10 22:59:59,,"1",2012/10/14 20:06:43,2012/10/14 20:06:43,"4",XB,false,
"POINT (-0.122903196802419 51.5506687340475)","4665",1940/10/09 23:00:00,1940/10/10 22:59:59,,"1",2012/10/14 20:06:43,2012/10/14 20:06:43,"4",XB,false,
"POINT (-0.120235715570917 51.5515848795269)","4664",1940/10/09 23:00:00,1940/10/10 22:59:59,,"1",2012/10/14 20:06:43,2012/10/14 20:06:43,"4",XB,false,
"POINT (-0.123246413632687 51.5531796154392)","4663",1940/10/09 23:00:00,1940/10/10 22:59:59,,"1",2012/10/14 20:06:43,2012/10/14 20:06:43,"4",XB,false,
"POINT (-0.124473381804844 51.5523022442062)","4662",1940/10/09 23:00:00,1940/10/10 22:59:59,,"1",2012/10/14 20:06:43,2012/10/14 20:06:43,"4",XB,false,
"POINT (-0.12529983089054 51.5527175522562)","4661",1940/10/09 23:00:00,1940/10/10 22:59:59,,"1",2012/10/14 20:06:43,2012/10/14 20:06:43,"4",XB,false,
"POINT (-0.127734757446017 51.553839009036)","4660",1940/10/09 23:00:00,1940/10/10 22:59:59,,"1",2012/10/14 20:06:43,2012/10/14 20:06:43,"4",XB,false,
"POINT (-0.152924577764882 51.548144938102)","4659",1940/10/12 23:00:00,1940/10/13 22:59:59,,"1",2012/10/14 20:06:43,2012/10/14 20:06:43,"4",XB,false,
"POINT (-0.181819646987545 51.5501428133221)","4658",1940/10/12 23:00:00,1940/10/13 22:59:59,,"1",2012/10/14 20:06:43,2012/10/14 20:06:43,"4",XB,false,
"POINT (-0.183091310278431 51.5493583195146)","4657",1940/10/12 23:00:00,1940/10/13 22:59:59,,"1",2012/10/14 20:06:43,2012/10/14 20:06:43,"4",XB,false,
"POINT (-0.182253296075165 51.5492216168724)","4656",1940/10/12 23:00:00,1940/10/13 22:59:59,,"1",2012/10/14 20:06:43,2012/10/14 20:06:43,"4",XB,false,
"POINT (-0.180660678549484 51.5505888052475)","4655",1940/10/12 23:00:00,1940/10/13 22:59:59,,"1",2012/10/14 20:06:43,2012/10/14 20:06:43,"4",XB,false,
"POINT (-0.179926756352294 51.5503299780311)","4654",1940/10/12 23:00:00,1940/10/13 22:59:59,,"1",2012/10/14 20:06:43,2012/10/14 20:06:43,"4",XB,false,
"POINT (-0.179120021262046 51.551894917604)","4653",1940/10/12 23:00:00,1940/10/13 22:59:59,,"1",2012/10/14 20:06:43,2012/10/14 20:06:43,"4",XB,false,
"POINT (-0.17843937875913 51.5515441164708)","4652",1940/10/12 23:00:00,1940/10/13 22:59:59,,"1",2012/10/14 20:06:43,2012/10/14 20:06:43,"4",XB,false,
"POINT (-0.176121283006555 51.5524360202673)","4651",1940/10/12 23:00:00,1940/10/13 22:59:59,,"1",2012/10/14 20:06:43,2012/10/14 20:06:43,"4",XB,false,
"POINT (-0.174456416436207 51.5531215303917)","4650",1940/10/12 23:00:00,1940/10/13 22:59:59,,"1",2012/10/14 20:06:43,2012/10/14 20:06:43,"4",XB,false,
"POINT (-0.174012593650818 51.5530527629264)","4649",1940/10/12 23:00:00,1940/10/13 22:59:59,,"1",2012/10/14 20:06:42,2012/10/14 20:06:42,"4",XB,false,
"POINT (-0.173394003156135 51.5536308144989)","4648",1940/10/12 23:00:00,1940/10/13 22:59:59,,"1",2012/10/14 20:06:42,2012/10/14 20:06:42,"4",XB,false,
"POINT (-0.172682411090452 51.5540527617404)","4647",1940/10/12 23:00:00,1940/10/13 22:59:59,,"1",2012/10/14 20:06:42,2012/10/14 20:06:42,"4",XB,false,
"POINT (-0.17074221430439 51.5541771813491)","4646",1940/10/12 23:00:00,1940/10/13 22:59:59,,"1",2012/10/14 20:06:42,2012/10/14 20:06:42,"4",XB,false,
"POINT (-0.153990051810843 51.5463367992908)","4645",1940/10/12 23:00:00,1940/10/13 22:59:59,,"1",2012/10/14 20:06:42,2012/10/14 20:06:42,"4",XB,false,
"POINT (-0.160892466351304 51.5486412774254)","4644",1940/10/12 23:00:00,1940/10/13 22:59:59,,"1",2012/10/14 20:06:42,2012/10/14 20:06:42,"4",XB,false,
"POINT (-0.161052160873797 51.5496026295985)","4643",1940/10/12 23:00:00,1940/10/13 22:59:59,,"1",2012/10/14 20:06:42,2012/10/14 20:06:42,"4",XB,false,
"POINT (-0.160543847532493 51.5499039672984)","4642",1940/10/12 23:00:00,1940/10/13 22:59:59,,"1",2012/10/14 20:06:42,2012/10/14 20:06:42,"4",XB,false,
"POINT (-0.16127515712059 51.5502247367923)","4641",1940/10/12 23:00:00,1940/10/13 22:59:59,,"1",2012/10/14 20:06:42,2012/10/14 20:06:42,"4",XB,false,
"POINT (-0.161730146371335 51.5500153522818)","4640",1940/10/12 23:00:00,1940/10/13 22:59:59,,"1",2012/10/14 20:06:42,2012/10/14 20:06:42,"4",XB,false,
"POINT (-0.164255438430217 51.5489104596771)","4639",1940/10/12 23:00:00,1940/10/13 22:59:59,,"1",2012/10/14 20:06:42,2012/10/14 20:06:42,"4",XB,false,
"POINT (-0.163083291832222 51.5459846359031)","4638",1940/10/09 23:00:00,1940/10/10 22:59:59,,"1",2012/10/14 20:06:42,2012/10/14 20:06:42,"4",XB,false,
"POINT (-0.164036140506171 51.5481956242817)","4637",1940/10/09 23:00:00,1940/10/10 22:59:59,,"1",2012/10/14 20:06:42,2012/10/14 20:06:42,"4",XB,false,
"POINT (-0.163026827966366 51.5498500781481)","4636",1940/10/09 23:00:00,1940/10/10 22:59:59,,"1",2012/10/14 20:06:42,2012/10/14 20:06:42,"4",XB,false,
"POINT (-0.197028246454517 51.5557594101725)","4635",1940/10/08 23:00:00,1940/10/09 22:59:59,,"1",2012/10/14 20:06:42,2012/10/14 20:06:42,"4",XB,false,
